indiv,freq_x,plate,cage,treatment,sex
2428__Chrom_11_1_A1,0.217475321,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_A10,0.223992745,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_A11,0.219949767,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_A12,0.144512689,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_A2,0.130954566,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_A3,0.216108519,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_A4,0.144158487,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_A5,0.210609778,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_A6,0.132404465,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_A7,0.125893765,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_A8,0.121488016,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_A9,0.219469846,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_B1,0.219468246,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_B10,0.129181401,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_B11,0.217877389,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_B12,0.131758598,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_B2,0.121345204,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_B3,0.123329569,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_B4,0.117846595,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_B5,0.118175949,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_B6,0.122046974,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_B7,0.131916594,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_B8,0.220353803,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_B9,0.125402406,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_C1,0.125578995,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_C10,0.217637358,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_C11,0.222410684,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_C12,0.141508668,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_C2,0.119777867,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_C3,0.138597241,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_C4,0.206245229,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_C5,0.145485069,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_C6,0.218259968,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_C7,0.123791636,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_C8,0.120826593,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_C9,0.227818704,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_D1,0.120676713,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_D10,0.128121826,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_D11,0.17461129,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_D12,0.144382406,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_D2,0.1290838,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_D3,0.207945725,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_D4,0.131368009,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_D5,0.146222758,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_D6,0.220194011,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_D7,0.130393612,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_D8,0.128301571,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_D9,0.127643114,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_E1,0.125497841,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_E10,0.198427478,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_E11,0.12934387,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_E12,0.116771039,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_E2,0.219941169,Chrom_11_1,Cage 1,Control,female
2428__Chrom_11_1_E3,0.130854688,Chrom_11_1,Cage 1,Control,male
2428__Chrom_11_1_E4,0.123493272,Chrom_11_1,Cage 1,Control,male
